annotator,winner,loser,time
0166339a622c927a,ba843f464a043570,1af947192561366a,2015-09-20 15:34:41.874767
a17362dcbb8b81cc,78023ab2d0c2de88,21107088ee6c1f73,2015-09-20 15:34:45.96553
01953124aa6c5b66,ba843f464a043570,1b7b37141490f8c0,2015-09-20 15:34:09.29424
cc248de9e0cf98dd,3176c150c8924f02,a51e406f8f84ab2e,2015-09-20 15:34:37.582344
0166339a622c927a,ba843f464a043570,10493e9d37863786,2015-09-20 15:34:49.363467
cec671d4772e7229,16817cd9a8d557ef,89db5036fdd264f9,2015-09-20 15:35:01.887186
10d0244d8b52b675,f2c5c5af295a0c6c,2fa26e875c7ed590,2015-09-20 15:35:05.28333
19998f7ae23f3e83,f2c5c5af295a0c6c,89db5036fdd264f9,2015-09-20 15:35:07.752871
7427de5ab19c2343,89db5036fdd264f9,c63d36204ede0d5c,2015-09-20 15:35:09.974738
5fc824b1d31cc45a,f2c5c5af295a0c6c,89db5036fdd264f9,2015-09-20 15:35:12.753013
0a3455c6876d6949,b98e6084a0d45441,c63d36204ede0d5c,2015-09-20 15:35:13.259226
7a528f822855aa4a,21107088ee6c1f73,d474540874b4c1e2,2015-09-20 15:35:14.706005
c5a6143103a0ab9b,199799cf26a89281,6d3fc6ef19fdc128,2015-09-20 15:35:27.513583
2847995f880067d3,e7ddf048e287cb1a,dc9bba8ad4691996,2015-09-20 15:35:32.527144
7e85e6d16c1358bb,03cb4ec1d468d591,1b7b37141490f8c0,2015-09-20 15:35:35.723287
357d867d1d0ddc0b,88e6c4e73ebdc053,059fb328bd9a7106,2015-09-20 15:35:47.573316
f0acd6685c29da7c,94d60350a7e1b59a,75e35522860c1e28,2015-09-20 15:35:48.305429
08d163f66594422c,0f1aa4a556467be8,11aae39c4c2ffe00,2015-09-20 15:36:02.924777
f9c1aa7064a97cd0,a51e406f8f84ab2e,b1e728abf9fb8bba,2015-09-20 15:36:04.764022
9c073df1e723e040,bdf35bb493dc82db,7d7ebd50c79b1665,2015-09-20 15:36:08.772878
dc5f62ace932a3c1,2fa26e875c7ed590,e7703dc07df9d96c,2015-09-20 15:36:10.643393
b302038a5f54104b,39d3999e618f7979,199799cf26a89281,2015-09-20 15:36:12.647259
10d0244d8b52b675,2fa26e875c7ed590,48396acc0443b6b0,2015-09-20 15:36:21.465197
b6e89c05f85245c9,5cef52b783188c2f,bc7f4dc06903be04,2015-09-20 15:36:21.656762
7b6c4c39ed0ec09b,b98e6084a0d45441,0541226c22da3aab,2015-09-20 15:36:27.957007
1f7e9c9b5a59d246,f2c5c5af295a0c6c,6560f6423793040a,2015-09-20 15:36:30.415645
00bb4bc73a29dc3e,39d3999e618f7979,2db4d6dcbe31c912,2015-09-20 15:36:30.899186
b6f0b66fec1201f0,e0f157f879ed0798,45e024c81ca08e84,2015-09-20 15:36:32.950631
3f104d7f0d69186f,e45b1c3ec372d088,c63d36204ede0d5c,2015-09-20 15:36:33.29397
154b3d7867ee99d9,2db4d6dcbe31c912,456a1a87154a2c55,2015-09-20 15:36:43.556336
e6d601502659691e,cc04214dfd98aedc,c63d36204ede0d5c,2015-09-20 15:36:44.392167
3328ff8e46a4593e,bdf35bb493dc82db,3ee3a43e4976bf93,2015-09-20 15:36:53.099973
a6b24bd22377601a,2fa26e875c7ed590,cdbdd4f5297a44a3,2015-09-20 15:36:53.874362
b6e89c05f85245c9,bc7f4dc06903be04,2860d21bddb5234e,2015-09-20 15:36:54.156482
b795a177aa039f0c,7a3a58a4e00f5d4c,75e35522860c1e28,2015-09-20 15:36:56.258967
4d134b1cb7371b4d,df0b574e2a891076,2db4d6dcbe31c912,2015-09-20 15:36:58.110877
2ca8596c052a9bf2,96350fec3bdfb2cf,21107088ee6c1f73,2015-09-20 15:36:59.311933
000fdbf48bdb54b4,94d60350a7e1b59a,6560f6423793040a,2015-09-20 15:37:04.891948
00bb4bc73a29dc3e,309082f603c5c773,2db4d6dcbe31c912,2015-09-20 15:37:05.020563
476c030a96fa8439,2db4d6dcbe31c912,1efba56c1e077108,2015-09-20 15:37:08.574852
04a758c535e83066,bca1cf59e67ee7bb,96bddd4a7db353d1,2015-09-20 15:37:08.779509
5473c504b920a5c3,2fa26e875c7ed590,33fe406aa7ab77b0,2015-09-20 15:37:09.152253
b6e89c05f85245c9,2860d21bddb5234e,33fe406aa7ab77b0,2015-09-20 15:37:14.376339
fe937615ff7b0c27,89db5036fdd264f9,f2c5c5af295a0c6c,2015-09-20 15:37:16.635822
efc06b69407e7598,0f1aa4a556467be8,bf7471ad5f124cd4,2015-09-20 15:37:21.988043
41b8a2c90793f4ef,771d79f1b6dcec5b,0f1aa4a556467be8,2015-09-20 15:37:25.682246
d6626cc9aac554b0,fe90015240e9661c,c63d36204ede0d5c,2015-09-20 15:37:27.141387
fd5cf7735586f324,f2c5c5af295a0c6c,0541226c22da3aab,2015-09-20 15:37:28.394804
3b12fb1c81746a51,1b7b37141490f8c0,9836ae7c902fce7a,2015-09-20 15:37:36.869716
99fdc2c956790cc8,ade653adda91b17f,96bddd4a7db353d1,2015-09-20 15:37:45.343414
eecf8e4fe419bb39,c63d36204ede0d5c,322ea9353affcb34,2015-09-20 15:37:48.732822
6aa00b71b4e5cada,b1e728abf9fb8bba,bc7f4dc06903be04,2015-09-20 15:37:49.484126
3bec00ceec2ba473,bc7f4dc06903be04,0f1aa4a556467be8,2015-09-20 15:37:53.143176
9557c7b476bd24a9,bc7f4dc06903be04,49e9890bd7cd8b98,2015-09-20 15:37:53.282463
06ab5c83c0282a3a,51f465fe789ceffb,bc7f4dc06903be04,2015-09-20 15:37:55.463237
4d2e197f9132977e,bc7f4dc06903be04,46a4feb9a4336113,2015-09-20 15:38:02.723799
b6f0b66fec1201f0,e0f157f879ed0798,0844adab2e650e07,2015-09-20 15:38:05.150935
b6e89c05f85245c9,a51e406f8f84ab2e,33fe406aa7ab77b0,2015-09-20 15:38:07.758647
2ca8596c052a9bf2,96350fec3bdfb2cf,0844adab2e650e07,2015-09-20 15:38:17.833062
